"alpha0","alpha1","alpha2"
12.779567325117,-3.29604578066566,2.73167024099353
10.6666997887978,-2.47233542435395,2.64239662492415
8.55627972968235,-1.90089955563993,1.71407796883032
9.86897122282809,-2.58734133176666,2.27015811824731
10.2486934216881,-2.75592495517696,2.28002549506979
9.54546490572861,-2.36217982757664,1.87909530101041
9.04170649025512,-2.35317784650621,1.76558798729705
7.3819329545136,-1.79828546214178,1.49482587371885
9.30162614580035,-2.05306213682333,2.30643459999997
9.96898792973485,-2.35000675026478,2.28191723930961
8.97005181102995,-2.26921777885815,1.56568696266298
7.59632351271203,-1.96738934973872,1.80841845995505
8.65728630872833,-2.1268184240553,2.26395145003365
9.26702832868659,-2.33541477275882,2.22196404611405
9.78367745800161,-2.49854712414327,2.91515297051694
7.04889056007673,-1.6752214304985,1.81769887698861
6.36226172666496,-1.56287382399007,1.47484032537465
8.91731863951634,-2.34736430170769,1.82010623355337
13.7639645503116,-3.24837295238721,2.8635340348789
9.96486231828615,-2.63887423425187,2.64828590920114
8.22385954948909,-2.12896666950753,2.23107201538385
9.66297204041368,-2.37194085233521,1.95335467646672
8.97153792474385,-2.00985412804563,1.890472789868
8.09008991170349,-2.07053063660221,1.90778987478844
7.98773319966911,-2.04985475632613,1.89128414188993
9.7708311102083,-2.47120531627827,2.30888743495461
8.57076251726651,-2.26077002976733,1.64060923387444
9.05371548779627,-2.38555870866073,2.61931247438435
7.60321478295218,-1.82179780335888,1.95796320476227
10.1949822917367,-2.46759408087749,2.53959196275724
9.68573800823457,-2.56170231735499,1.9138635262349
15.1311485703,-4.0612678764195,3.07991452636529
9.35194388794405,-2.13759266884479,2.54919099478722
10.3605674221613,-2.78376542967033,1.5878865998271
10.2016348986803,-2.67216640961525,2.00898206054615
8.16758197497558,-2.27941236412396,2.25257513907366
9.85311913311062,-2.22095836941704,3.0518035527475
7.18027067091412,-1.73737488865713,2.00663598344339
7.37396344265636,-1.81577675866197,0.975673506855088
9.25044529428179,-2.15084589318515,2.06137855925445
9.0780342676649,-2.31353871183207,2.04126664668595
9.56853647808266,-2.28199349789755,2.53306367348752
9.38143107317279,-2.69201873995806,2.63402782895284
8.75937904511628,-1.96155668039655,1.45948376054509
9.34179482800168,-2.39718504724473,2.91353377713863
9.56464265450015,-2.29563721789823,1.94522816154275
9.72170936588001,-2.2443342995634,2.6778171160264
10.213378936433,-2.30538276276211,2.78007058673468
11.2243111676433,-2.83809183282765,1.83446536803454
9.14051008451358,-2.25874909645879,3.44017563548802
9.15699700942572,-2.30363360014038,1.35204812351194
8.14182738722523,-1.94084760524088,1.9245502994076
9.47344963861041,-2.2829137219394,2.38790302818973
9.26284782803652,-2.20709835853335,2.00964543460966
6.83947340710878,-1.72860667688322,1.47369061154931
10.8824212750595,-2.85264200147078,2.4441669759832
9.89637437014965,-2.39996798482677,2.37087031393686
7.91674685157158,-1.90068506761749,1.91757724994486
9.53892353572878,-2.46621466496074,2.57753510754155
11.7293481221168,-2.6222079950288,2.14922283855375
6.79105161968809,-1.66573396965719,1.65285042124235
7.43453364000588,-1.61466810125987,1.68855314444394
9.8380712848707,-2.27664964105218,1.66298999639246
10.9004395784211,-2.95496893469881,1.89320323857049
8.13088274050032,-2.19288063035265,2.60552412135198
7.56520850832878,-1.93432522278443,2.15221754225463
9.76323850700881,-2.58991527597546,2.58885396711569
12.0046422972596,-3.05259673130106,2.48668756396161
12.0710261661876,-2.90793587934048,3.36124099448513
10.7062994624477,-2.90302932937155,2.82199121334442
10.7211267297696,-2.7564791243514,2.43366744256421
10.8122050877128,-2.21541917614289,2.7541547926248
8.47519694535745,-2.1291710768217,2.57842910187124
8.00097902088673,-1.79561816757875,1.94619176956325
7.99376227652673,-2.194366835364,2.05256879837808
10.3653778184618,-2.23641131344853,2.82087174863866
7.94336104870203,-1.93220380262956,1.90738927060081
11.4148784555285,-3.10206486103724,2.86233722971349
13.1525538717612,-3.39061383779567,3.71654352081004
8.79840822754599,-2.15667212731517,2.6007356450809
9.17972429087921,-2.15663750417172,2.33964024055691
11.7259698526385,-3.10947675737151,2.8878706942363
11.5242251492806,-2.81975711003011,2.67677912427822
11.0820856127679,-2.43172542684109,2.7891685347503
10.7873297955795,-2.58035134803659,2.8646745330392
12.143215005747,-3.11431321830542,2.25240910651316
9.17646681705513,-2.3250028683741,2.17102850582183
9.49921722648774,-2.06452313873017,1.81893267872915
9.81714202449915,-2.26718380862941,1.84897259608586
8.50214600709225,-1.9827967849373,1.90379201330202
13.3959196628784,-3.48361473561866,2.94141706246208
9.31009748582547,-2.26481242542197,2.25626590258683
8.85872441965877,-2.11414694333805,1.76954021233901
8.71212861612264,-2.43814651123666,1.96108547405725
8.79773148575791,-2.0836414426895,1.9788895548471
9.97001598568186,-2.35459107671241,2.89134229103589
12.700505558492,-3.033686608447,2.80781744516263
9.00602222538064,-2.20166645579504,1.86735404300586
9.715726781278,-2.22886158464714,1.86680485278948
9.22784700832472,-2.25163896789093,2.11119450973338
8.2274343873362,-2.1616300100609,2.2307780688736
10.1683488048808,-2.5121398372279,2.15765265784487
9.61473801964142,-2.52844681574329,2.53253602111155
7.63475216585604,-1.86319621801221,2.29754601589981
8.69524146884013,-2.35849715516124,1.86837956054991
7.26961336442841,-1.87638438918984,1.85900445296243
9.81078375710124,-2.69809800638921,2.51776877428599
6.95216995144643,-1.66470417029005,1.67483001944533
8.40716963183566,-1.83601185582719,2.02539974300453
7.595476015107,-1.85782243510633,1.49372883989005
8.01073986408681,-2.0477643562862,2.08834378033749
8.93157615487997,-2.14146206315602,1.8886415202142
9.56585678816899,-2.13752302493203,2.7759064866532
8.4467226632675,-1.96697087536183,2.22853237951456
9.71992162942898,-2.45069004072846,1.78532782525862
7.85802414246806,-1.92071561583448,1.64260211198104
11.8701030193475,-3.28463573719179,3.60620128821636
9.2828112916412,-2.14879500470976,2.22929277658771
