"D11","D22","D33"
0.84584661,0.12417643,0.0452729
1.55031944,0.05478587,0.06743896
2.73723892,0.08314896,0.07407657
1.68335438,0.050007435,0.039832277
3.46721792,0.08156205,0.0700741
2.81994252,0.05755573,0.0810079
1.47833325,0.08078443,0.07664399
1.31847377,0.09802371,0.09533234
1.63560656,0.07029992,0.12967844
1.49346811,0.03419393,0.10707869
2.44342862,0.03139346,0.10954755
2.44643316,0.101933715,0.112841264
1.60165205,0.14251491,0.12112915
2.63593649,0.11062002,0.08621861
2.15291574,0.13690455,0.08222785
1.70903587,0.11466376,0.10165686
2.22434546,0.09678985,0.09582564
0.69252023,0.15499372,0.05775648
1.79659807,0.09246565,0.14471111
2.23296415,0.04006865,0.06174781
2.074940553,0.102037756,0.07555512
1.62429657,0.07343185,0.09850393
1.579941746,0.131021057,0.08716696
1.426011347,0.074917581,0.203024894
2.76156955,0.09513895,0.10234009
1.57481839,0.09790037,0.11228279
1.48208247,0.04823034,0.12071511
2.55726745,0.03904873,0.03270348
3.167065183,0.097090635,0.110727152
1.69666151,0.07756135,0.05420692
1.8198237,0.1426746,0.1174807
2.74092771,0.03571051,0.16367018
1.067007833,0.092246086,0.062996714
2.143226909,0.04817646,0.071754965
1.46393164,0.12731861,0.10429979
0.98563844,0.06187371,0.04411666
0.84142178,0.10564907,0.09940245
2.26953205,0.11285473,0.07578482
2.213562763,0.114047604,0.08464658
1.36617615,0.09966764,0.05120516
1.26695043,0.04991755,0.07986159
1.02325291,0.18658335,0.09814622
1.489546341,0.163167351,0.133178063
2.261446021,0.142826881,0.094956792
2.209694559,0.09068931,0.129576339
1.248757285,0.063234558,0.065478196
1.37314438,0.07827254,0.01672373
1.340539754,0.057125537,0.109130495
1.689758932,0.115246014,0.141805455
1.781593382,0.150678406,0.096277368
0.94049469,0.17071924,0.14619631
2.021728274,0.053243946,0.249407854
2.144957007,0.075857941,0.094766819
2.134329933,0.157136778,0.097335179
1.21448888,0.056627799,0.056809936
2.118026796,0.177964459,0.085294574
1.963020436,0.073603147,0.088376142
1.853404205,0.091505884,0.0920325
1.61832496,0.05891669,0.10867453
1.37370861,0.15865098,0.07817071
2.474010529,0.045492638,0.085017033
1.99891728,0.0802261,0.08298926
1.99703599,0.117800181,0.085825433
2.08626863,0.1314263,0.09747587
2.78533053,0.10603509,0.09396836
1.924389334,0.061000124,0.145758205
1.852581629,0.091457997,0.108777639
3.8612873,0.04894082,0.0235327
1.58592812,0.1507967,0.07493677
1.752165503,0.062463843,0.102297922
1.68681233,0.05461998,0.11133616
2.910893507,0.078474937,0.125236407
1.63686659,0.06245863,0.12030422
0.73634091,0.094207304,0.156753357
2.42342463,0.07582153,0.04211795
2.968367115,0.103766219,0.126904515
1.894077771,0.129950883,0.106292377
1.005353317,0.18437829,0.095014212
1.3730204,0.07601338,0.1622541
1.88706245,0.08952336,0.04379547
3.278823448,0.134738523,0.0643122
1.55133761,0.12927622,0.07941055
2.64684681,0.06375063,0.07959822
2.82171809,0.058521432,0.084249145
1.71393324,0.08227579,0.11611255
1.583290075,0.101559344,0.098423405
2.617375073,0.083143347,0.086273559
1.83587393,0.02658585,0.13312832
2.384126269,0.111316087,0.142876544
1.965753304,0.047587124,0.132003116
1.342415021,0.142670055,0.063477766
1.66735319,0.0973419,0.06317278
1.099259448,0.120147245,0.08154401
1.4273529,0.09404115,0.15550269
1.6547321,0.10401031,0.09895688
1.845808925,0.106939469,0.049154732
1.292039484,0.132319085,0.143301204
1.524120846,0.102649592,0.063289805
1.199195121,0.091967738,0.05548998
1.832981377,0.084930315,0.149043184
2.079969547,0.087244335,0.103636257
1.265079582,0.076785625,0.125687575
2.462987331,0.064141636,0.197551422
2.179652382,0.116400258,0.07414075
2.078117207,0.080220724,0.121105529
1.136102623,0.15586249,0.107964557
1.74934475,0.15784385,0.04175019
0.86960478,0.1160703,0.11525333
1.69296416,0.03705324,0.05537244
1.937865556,0.057414585,0.111839177
2.13666806,0.12130417,0.05862259
1.61488101,0.212458168,0.130782251
2.20986371,0.05048457,0.10657232
1.57467303,0.08570204,0.04155254
2.290245161,0.088850314,0.150141104
2.373112246,0.046701762,0.114738442
1.136895788,0.177698922,0.076976504
1.281050045,0.144352622,0.089294489
2.617074274,0.185609779,0.103546778
2.527355692,0.117474365,0.097043475
2.63374056,0.06335631,0.11007137
1.507609619,0.074667159,0.134261532
2.08585035,0.05468429,0.03652337
2.146412607,0.028114355,0.064906289
2.262671969,0.083818471,0.105833759
2.329814965,0.067196301,0.077693958
1.10836907,0.076540961,0.141142265
1.53889726,0.15408636,0.14404736
2.58669229,0.0571907,0.08485517
1.461175911,0.066108419,0.090869757
0.56536237,0.06236064,0.11821474
2.70364837,0.069235018,0.083645542
2.09597259,0.09446976,0.0513986
2.23476757,0.07139518,0.16586
2.03447832,0.10475542,0.07494428
1.910582883,0.130378171,0.047037166
1.20273821,0.03640682,0.036899
2.403947478,0.049602958,0.082372625
2.293129454,0.042637609,0.132632215
1.62973644,0.13249413,0.11002033
1.92981335,0.09180467,0.10549498
2.793175627,0.044891967,0.133135049
1.46971797,0.13176324,0.12519382
1.61582188,0.06466317,0.11323161
1.556744307,0.170077914,0.08026708
1.102869789,0.263160942,0.147928155
2.52957379,0.0903854,0.06163188
1.65846563,0.100951252,0.08339748
2.23377159,0.12792698,0.07529245
2.410758579,0.087699387,0.155216631
2.3571871,0.03719093,0.06202573
2.03473628,0.03081754,0.08942004
2.1302201,0.09107008,0.15851747
2.629739005,0.114731049,0.116416132
1.435218832,0.081958972,0.118641334
1.477574821,0.080366406,0.086323628
1.031581186,0.062032165,0.104123072
1.47441918,0.12284992,0.10412205
1.515092263,0.144658276,0.059088185
2.514885146,0.051163975,0.103954114
1.648536646,0.028445804,0.152210458
1.43865599,0.15374507,0.05927314
2.929438795,0.098488451,0.164090017
1.18428983,0.05572389,0.03897265
1.770083313,0.10767735,0.093874355
2.027239629,0.093661574,0.140604624
3.40971114,0.06126476,0.08420801
2.522884956,0.112750199,0.089015323
2.19210537,0.09635381,0.09670064
1.717996591,0.091828631,0.110352678
1.96143999,0.08193959,0.05739135
2.85834762,0.16612411,0.06403389
2.106657621,0.140771134,0.150067202
1.47454488,0.08323592,0.08362883
1.904377153,0.089646199,0.140901934
2.295280761,0.067027882,0.040332351
3.24742778,0.05840558,0.0495352
1.578328947,0.065006586,0.107186356
2.161493872,0.081336858,0.055007406
1.5547671,0.07705792,0.11252373
2.580180724,0.078073821,0.087831183
2.817178956,0.129072057,0.083316832
1.99506723,0.0963493,0.07030912
3.443596159,0.132103201,0.102055919
1.36946046,0.12591513,0.09421365
1.125980581,0.089357677,0.145147333
2.835710427,0.068932794,0.103855952
1.74005492,0.08898063,0.0521074
2.12373443,0.11700179,0.05642378
3.335624681,0.172756715,0.072409126
3.181048967,0.053170587,0.156245522
1.374221619,0.111708822,0.056439955
1.58213443,0.05234812,0.127312
1.77408116,0.15812805,0.04676922
1.38360306,0.14448551,0.13067654
2.099157958,0.106991104,0.035672189
2.29845317,0.08125546,0.08083322
2.54656092,0.05846274,0.07800678
1.072530538,0.099952283,0.152483258
1.654654833,0.047892487,0.05946016
1.695874261,0.102270831,0.077418983
1.122885413,0.074203022,0.092714813
2.90413056,0.06950007,0.1191731
0.78766804,0.0710878,0.0188221
1.58707998,0.11870554,0.05765587
2.426644752,0.085492606,0.101543163
2.43131469,0.02318719,0.09704724
1.771613913,0.117657331,0.079702978
1.35704551,0.08259856,0.02281031
2.39927405,0.0851884,0.19302435
1.72061279,0.030208,0.05521884
1.10028064,0.09429029,0.03678809
2.16471381,0.1431844,0.03510874
1.1145547,0.1037923,0.12231926
1.085452026,0.072039613,0.099418374
3.05243928,0.04268671,0.09682473
1.797908523,0.078071242,0.074725014
2.099847945,0.130934604,0.14921558
1.017192921,0.087990427,0.179305986
1.11958625,0.0706753,0.06625338
1.39117425,0.07194889,0.14614893
1.52376601,0.15151502,0.06189191
2.41896475,0.14604363,0.07323414
1.92313046,0.11139368,0.08089176
2.33870353,0.04895701,0.16964528
1.39434832,0.11797122,0.1453218
2.87273738,0.07492866,0.1152593
0.99666201,0.10448312,0.11158957
1.214564571,0.120695967,0.059264927
